_id,operator_registration_number,postal_code,ward_number,ward_name
450035,STR-2012-HZHHHM,M6K,4,Parkdale-High Park
450036,STR-2012-FMXVHC,M5V,10,Spadina-Fort York
450037,STR-2012-FWDVHD,M6P,9,Davenport
450038,STR-2012-GDKVHF,M6G,11,University-Rosedale
450039,STR-2012-GLRVHG,M6J,11,University-Rosedale
450040,STR-2012-GTXVHH,M5V,10,Spadina-Fort York
450041,STR-2012-HCDVHJ,M6G,11,University-Rosedale
450042,STR-2012-HKKVHK,M8Y,3,Etobicoke-Lakeshore
450043,STR-2012-HSRVHL,M4Y,13,Toronto Centre
450044,STR-2012-HZXVHM,M3H,6,York Centre
450045,STR-2012-FGHHHB,M4L,19,Beaches-East York
450046,STR-2012-FPPHHC,M6G,11,University-Rosedale
450047,STR-2112-FJLDVB,M3H,6,York Centre
450048,STR-2012-FWVHHD,M6C,12,Toronto-St. Paul's
450049,STR-2012-GFBHHF,M6E,9,Davenport
450050,STR-2012-GMHHHG,M6G,11,University-Rosedale
450051,STR-2012-GVPHHH,M5T,11,University-Rosedale
450052,STR-2012-HCVHHJ,M8V,3,Etobicoke-Lakeshore
450053,STR-2012-HTHHHL,M6J,10,Spadina-Fort York
450054,STR-2012-JBPHHM,M5R,11,University-Rosedale
450055,STR-2012-FGXVHB,M6G,11,University-Rosedale
450056,STR-2012-FQDVHC,M6R,4,Parkdale-High Park
450057,STR-2012-FXKVHD,M6E,9,Davenport
450058,STR-2012-GFRVHF,M5R,11,University-Rosedale
450059,STR-2012-GWDVHH,M9V,1,Etobicoke North
450060,STR-2012-HDKVHJ,M6G,11,University-Rosedale
450061,STR-2012-HLRVHK,M2J,17,Don Valley North
450062,STR-2012-HTXVHL,M6L,5,York South-Weston
450063,STR-2012-JCDVHM,M5V,10,Spadina-Fort York
450064,STR-2012-FHPHHB,M5M,8,Eglinton-Lawrence
450065,STR-2012-FQVHHC,M6K,4,Parkdale-High Park
450066,STR-2012-FYBHHD,M6J,10,Spadina-Fort York
450067,STR-2012-GGHHHF,M6G,11,University-Rosedale
450068,STR-2012-GPPHHG,M6K,10,Spadina-Fort York
450069,STR-2012-HFBHHJ,M3J,7,Humber River-Black Creek
450070,STR-2012-HMHHHK,M2J,17,Don Valley North
450071,STR-2012-HVPHHL,M9L,7,Humber River-Black Creek
450072,STR-2012-FJDVHB,M6C,9,Davenport
450073,STR-2012-FRKVHC,M4K,14,Toronto-Danforth
450074,STR-2012-FYRVHD,M4K,14,Toronto-Danforth
450075,STR-2012-GGXVHF,M1N,20,Scarborough Southwest
450076,STR-2012-GQDVHG,M3J,7,Humber River-Black Creek
450077,STR-2012-GXKVHH,M9B,2,Etobicoke Centre
450078,STR-2012-HMXVHK,M5A,10,Spadina-Fort York
450079,STR-2012-FSBHHC,M5A,13,Toronto Centre
450080,STR-2012-FZHHHD,M4E,19,Beaches-East York
450081,STR-2012-GHPHHF,M5V,10,Spadina-Fort York
450082,STR-2012-GQVHHG,M2M,18,Willowdale
450083,STR-2012-HPPHHK,M4S,12,Toronto-St. Paul's
450084,STR-2012-HWVHHL,M6K,4,Parkdale-High Park
450085,STR-2012-JFBHHM,M4K,14,Toronto-Danforth
450086,STR-2012-FKKVHB,M6G,11,University-Rosedale
450087,STR-2012-FSRVHC,M5V,10,Spadina-Fort York
450088,STR-2012-FZXVHD,M6K,10,Spadina-Fort York
450089,STR-2012-GJDVHF,M4V,12,Toronto-St. Paul's
450090,STR-2012-GRKVHG,M4E,19,Beaches-East York
